Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT
Date,,,,,,,,,,,,,,,
2025-02-18,243.87306213378906,183.33665466308594,408.0711364746094,244.58131995427482,185.52149284111707,409.0274512633779,241.2494791133952,181.31144284116834,404.94314775203674,243.55383619329416,185.16234115126528,406.4374029097933,48822500,29916700,21423100
2025-02-19,244.27207946777344,184.83311462402344,413.18145751953125,245.40929524371262,185.02266901610753,413.8987012007662,242.56626341463,183.1570683565281,406.0887313388178,244.06260076305156,183.63594741741645,406.31786140389937,32204200,19549400,24114200
2025-02-20,245.22975158691406,184.12478637695312,415.3674621582031,246.17742890005937,184.8730178009315,418.5416276159257,243.69350332551406,182.28912893693322,411.78404435480104,244.34192533458386,184.36422591283684,414.52900508229465,32316900,20441500,23508700
2025-02-21,244.95042419433594,179.23634338378906,407.4619445800781,248.08275639920348,184.90294194163184,417.28390907488637,244.6212281548445,178.65770926804197,407.14255413255484,245.34944139409683,184.71338754923798,416.57521868274245,53197400,35199200,27524800
2025-02-24,246.49664306640625,178.8273162841797,403.2596740722656,248.25234005966587,182.68818568914216,408.6198287275297,243.82317911276243,178.46816457980125,398.58825743588903,244.3319283268952,181.56086065766053,407.7614192904554,51326400,29854200,26443700
2025-02-25,246.43678283691406,175.00633239746094,397.17083740234375,249.38956194785018,178.3185106633885,401.18349019975926,244.3119941197594,174.27805810561316,395.9730546936776,247.3944454522674,177.620149186563,400.3649855487621,48013300,41913400,29387400
2025-02-26,239.77310180664062,172.3226776123047,398.99749755859375,244.3818160551289,175.66478399830825,402.860400830509,238.54610942000366,171.1753955398117,393.5275288045757,243.7334092806253,174.6571711800562,397.28064827533655,44433600,35431300,19619000
2025-02-27,236.72056579589844,168.1026611328125,391.8106994628906,241.86796980219768,174.14836864650957,404.9964840093174,236.48114634623442,167.54398410119538,391.45137377356565,238.82541422357912,173.5797206760448,400.53467393026557,41153600,39991000,21127400
2025-02-28,241.24948120117188,169.8784637451172,396.26251220703125,241.49887076126774,170.20768740317763,396.9013540385077,229.63790389196947,166.37674611034126,385.86162375466716,236.37142201455794,168.28223059503162,391.94046026830176,56833400,48130600,32845700
2025-03-03,237.4487762451172,166.6161651611328,387.778076171875,243.43412542285543,172.96116813684316,398.0891633417286,235.53346633482454,165.53871010229818,385.4523593369203,241.19958958341564,171.52456139173032,398.0891633417286,47184000,40770500,23007700
2025-03-04,235.35391235351562,170.51695251464844,387.8978576660156,239.4838181516717,172.88135895735127,391.86058386063223,234.10696453181083,165.40903083418053,380.30181761040467,237.1295800554318,165.84799570787212,382.6974135187692,53798100,45388000,29342900
2025-03-05,235.1643829345703,172.6120147705078,400.2851257324219,235.97240266650644,173.37021717369865,400.9339589862258,228.67026910680244,168.66134594316833,388.09750890861034,234.84515699420854,170.11790989089675,388.62653647287385,47227600,30954900,23433100
2025-03-06,234.75538635253906,171.94358825683594,396.1627197265625,237.27920752401755,174.39777881609385,401.4130601425524,232.59068676229822,170.0979446451701,391.9604125552081,233.86756011302523,170.12787268446783,393.557486671848,45170400,28302000,23304600
